"Wine_name","Wine_url","Wine_points","Wine_points_url","Wine_price","Wine_price_url","Wine_review","Wine_review_url"
"Dr. Loosen 2014 Erdener Prälat Gold Capsule Auslese Riesling (Mosel)","http://www.winemag.com/buying-guide/dr-loosen-2014-erdener-pralat-gold-capsule-auslese-riesling-mosel","95","http://www.winemag.com/buying-guide/dr-loosen-2014-erdener-pralat-gold-capsule-auslese-riesling-mosel","$114","http://www.winemag.com/buying-guide/dr-loosen-2014-erdener-pralat-gold-capsule-auslese-riesling-mosel","Dulcet peach, apricot and citrus sweetness extends languorously from nose to finish ...","http://www.winemag.com/buying-guide/dr-loosen-2014-erdener-pralat-gold-capsule-auslese-riesling-mosel"
"Johannishof 2014 Rüesheim Berg Rottland GG Riesling (Rheingau)","http://www.winemag.com/buying-guide/johannishof-2014-ruesheim-berg-rottland-gg-riesling-rheingau","94","http://www.winemag.com/buying-guide/johannishof-2014-ruesheim-berg-rottland-gg-riesling-rheingau","$42","http://www.winemag.com/buying-guide/johannishof-2014-ruesheim-berg-rottland-gg-riesling-rheingau","Dry in style but lusciously textured, this full-bodied Riesling stands out for ...","http://www.winemag.com/buying-guide/johannishof-2014-ruesheim-berg-rottland-gg-riesling-rheingau"
"Reichsgraf von Kesselstatt 2015 Braunberger Juffer-Sonnenuhr Spätlese Grosse Lage Riesling (Mosel)","http://www.winemag.com/buying-guide/reichsgraf-von-kesselstatt-2015-braunberger-juffer-sonnenuhr-spatlese-grosse-lage-riesling-mosel","94","http://www.winemag.com/buying-guide/reichsgraf-von-kesselstatt-2015-braunberger-juffer-sonnenuhr-spatlese-grosse-lage-riesling-mosel","$34","http://www.winemag.com/buying-guide/reichsgraf-von-kesselstatt-2015-braunberger-juffer-sonnenuhr-spatlese-grosse-lage-riesling-mosel","Tart lime and gooseberry aromas turn plush and plump on the palate ...","http://www.winemag.com/buying-guide/reichsgraf-von-kesselstatt-2015-braunberger-juffer-sonnenuhr-spatlese-grosse-lage-riesling-mosel"
"Karl Schaefer 2014 Unsteiner Herrenberg GG Dry Riesling (Pfalz)","http://www.winemag.com/buying-guide/karl-schaefer-2014-unsteiner-herrenberg-gg-dry-riesling-pfalz","94","http://www.winemag.com/buying-guide/karl-schaefer-2014-unsteiner-herrenberg-gg-dry-riesling-pfalz","$67","http://www.winemag.com/buying-guide/karl-schaefer-2014-unsteiner-herrenberg-gg-dry-riesling-pfalz","A pleasantly savory touch of earth and nut on the nose lends ...","http://www.winemag.com/buying-guide/karl-schaefer-2014-unsteiner-herrenberg-gg-dry-riesling-pfalz"
"Dr. Loosen 2014 Wehlener Sonnenuhr Auslese Riesling (Mosel)","http://www.winemag.com/buying-guide/dr-loosen-2014-wehlener-sonnenuhr-auslese-riesling-mosel","94","http://www.winemag.com/buying-guide/dr-loosen-2014-wehlener-sonnenuhr-auslese-riesling-mosel","$64","http://www.winemag.com/buying-guide/dr-loosen-2014-wehlener-sonnenuhr-auslese-riesling-mosel","A crush of mineral notes on the nose lend earthy dimension to ...","http://www.winemag.com/buying-guide/dr-loosen-2014-wehlener-sonnenuhr-auslese-riesling-mosel"
"Johannishof 2015 Johannisberger Klaus Spätlese Riesling (Rheingau)","http://www.winemag.com/buying-guide/johannishof-2015-johannisberger-klaus-spatlese-riesling-rheingau","94","http://www.winemag.com/buying-guide/johannishof-2015-johannisberger-klaus-spatlese-riesling-rheingau","$40","http://www.winemag.com/buying-guide/johannishof-2015-johannisberger-klaus-spatlese-riesling-rheingau","Light as a feather yet bold in fruit, this sprightly spätlese packs ...","http://www.winemag.com/buying-guide/johannishof-2015-johannisberger-klaus-spatlese-riesling-rheingau"
"Dr. Loosen 2012 Erdener Prälat Réserve Alte Reben GG Erste Lage Dry Riesling (Mosel)","http://www.winemag.com/buying-guide/dr-loosen-2012-erdener-pralat-reserve-alte-reben-gg-erste-lage-dry-riesling-mosel","94","http://www.winemag.com/buying-guide/dr-loosen-2012-erdener-pralat-reserve-alte-reben-gg-erste-lage-dry-riesling-mosel","$165","http://www.winemag.com/buying-guide/dr-loosen-2012-erdener-pralat-reserve-alte-reben-gg-erste-lage-dry-riesling-mosel","Despite its fine, gossamer-like texture, there's marked concentration in this powerful dry ...","http://www.winemag.com/buying-guide/dr-loosen-2012-erdener-pralat-reserve-alte-reben-gg-erste-lage-dry-riesling-mosel"
"Dr. Loosen 2014 Erdener Treppchen GG Alte Reben Grosse Lage Dry Riesling (Mosel)","http://www.winemag.com/buying-guide/dr-loosen-2014-erdener-treppchen-gg-alte-reben-grosse-lage-dry-riesling-mosel","94","http://www.winemag.com/buying-guide/dr-loosen-2014-erdener-treppchen-gg-alte-reben-grosse-lage-dry-riesling-mosel","$54","http://www.winemag.com/buying-guide/dr-loosen-2014-erdener-treppchen-gg-alte-reben-grosse-lage-dry-riesling-mosel","Intense ripeness and delicate texture go hand-in-hand in this stunning dry Riesling. ...","http://www.winemag.com/buying-guide/dr-loosen-2014-erdener-treppchen-gg-alte-reben-grosse-lage-dry-riesling-mosel"
"Franz Keller 2014 Franz Anton Schwarzer Adler Pinot Noir (Baden)","http://www.winemag.com/buying-guide/franz-keller-2014-franz-anton-schwarzer-adler-pinot-noir-baden","94","http://www.winemag.com/buying-guide/franz-keller-2014-franz-anton-schwarzer-adler-pinot-noir-baden","$42","http://www.winemag.com/buying-guide/franz-keller-2014-franz-anton-schwarzer-adler-pinot-noir-baden","Robust in body yet squarely structured, the Franz Anton shows more ripeness ...","http://www.winemag.com/buying-guide/franz-keller-2014-franz-anton-schwarzer-adler-pinot-noir-baden"
"Prinz Salm 2014 Binger Kirchberg GG Erste Lage Trocken Riesling (Rheinhessen)","http://www.winemag.com/buying-guide/prinz-salm-2014-binger-kirchberg-gg-erste-lage-trocken-riesling-rheinhessen","94","http://www.winemag.com/buying-guide/prinz-salm-2014-binger-kirchberg-gg-erste-lage-trocken-riesling-rheinhessen","$70","http://www.winemag.com/buying-guide/prinz-salm-2014-binger-kirchberg-gg-erste-lage-trocken-riesling-rheinhessen","This stunner of a dry Riesling invigorates from first whiff with its ...","http://www.winemag.com/buying-guide/prinz-salm-2014-binger-kirchberg-gg-erste-lage-trocken-riesling-rheinhessen"
